date,source,production_m3,service_hours,country
2020-01-01,Dwangwa river,19615,18.827844255794865,Malawi
2020-01-02,Lilongwe river,21918,23.725129273634188,Malawi
2020-01-03,Dwangwa river,23238,23.3142132289089,Malawi
2020-01-04,Dwangwa river,21496,21.870894419512958,Malawi
2020-01-05,Lilongwe river,21727,22.60989151250762,Malawi
2020-01-06,Lilongwe river,20892,23.899405437022132,Malawi
2020-01-07,Dwangwa river,25418,22.718810866849005,Malawi
2020-01-08,Lilongwe river,21715,22.16000355849309,Malawi
2020-01-09,Lilongwe river,24606,22.898017937007175,Malawi
2020-01-10,Dwangwa river,23074,20.192642819006192,Malawi
2020-01-11,Lilongwe river,21167,21.056252543637573,Malawi
2020-01-12,Dwangwa river,20669,21.83176935208285,Malawi
2020-01-13,Lilongwe river,22984,23.96202203291026,Malawi
2020-01-14,Lilongwe river,20990,23.593789187096636,Malawi
2020-01-15,Dwangwa river,22531,22.81157711699875,Malawi
2020-01-16,Dwangwa river,24356,22.105215414800202,Malawi
2020-01-17,Lilongwe river,23288,22.597996356433278,Malawi
2020-01-18,Lilongwe river,26865,23.76476147345445,Malawi
2020-01-19,Dwangwa river,22721,20.556774243623046,Malawi
2020-01-20,Lilongwe river,20787,21.77128910236985,Malawi
2020-01-21,Lilongwe river,23106,22.41234288352433,Malawi
2020-01-22,Dwangwa river,20796,23.449122707879948,Malawi
2020-01-23,Dwangwa river,21997,23.753956686703724,Malawi
2020-01-24,Lilongwe river,21157,20.24141082933864,Malawi
2020-01-25,Lilongwe river,19359,19.30817096393193,Malawi
2020-01-26,Lilongwe river,22477,21.608614037815528,Malawi
2020-01-27,Lilongwe river,23326,20.269074129479563,Malawi
2020-01-28,Dwangwa river,22208,21.194470688413684,Malawi
2020-01-29,Dwangwa river,23901,23.190776149669507,Malawi
2020-01-30,Dwangwa river,23351,22.290440080560344,Malawi
2020-01-31,Dwangwa river,25564,20.7103088383548,Malawi
2020-02-01,Lilongwe river,20783,21.713009627788864,Malawi
2020-02-02,Dwangwa river,27009,22.803655710551467,Malawi
2020-02-03,Lilongwe river,22333,21.47626014061425,Malawi
2020-02-04,Lilongwe river,25090,22.352363527444123,Malawi
2020-02-05,Dwangwa river,22465,20.74951781297603,Malawi
2020-02-06,Dwangwa river,23191,23.82976307001572,Malawi
2020-02-07,Dwangwa river,23278,22.938602525583455,Malawi
2020-02-08,Lilongwe river,22568,23.438203063157843,Malawi
2020-02-09,Dwangwa river,16245,21.431239024634543,Malawi
2020-02-10,Dwangwa river,20342,22.163434264270798,Malawi
2020-02-11,Lilongwe river,20364,21.50926890169398,Malawi
2020-02-12,Lilongwe river,23261,22.121335495085848,Malawi
2020-02-13,Lilongwe river,20014,21.382314701296078,Malawi
2020-02-14,Dwangwa river,23977,23.93793583824037,Malawi
2020-02-15,Lilongwe river,21381,20.629215520435896,Malawi
2020-02-16,Dwangwa river,21907,22.44827266386204,Malawi
2020-02-17,Lilongwe river,25688,20.643066218339534,Malawi
2020-02-18,Dwangwa river,21618,20.933105565246542,Malawi
2020-02-19,Lilongwe river,21992,20.58197500913206,Malawi
2020-02-20,Lilongwe river,23058,21.730470434229375,Malawi
2020-02-21,Lilongwe river,27527,20.7411342175701,Malawi
2020-02-22,Lilongwe river,23090,22.24349108663796,Malawi
2020-02-23,Lilongwe river,19906,19.243467877192614,Malawi
2020-02-24,Dwangwa river,20374,20.173030335149917,Malawi
2020-02-25,Dwangwa river,19078,20.589616958492634,Malawi
2020-02-26,Dwangwa river,25520,20.840869859416355,Malawi
2020-02-27,Lilongwe river,20525,21.81047261276202,Malawi
2020-02-28,Dwangwa river,27267,21.73714245366445,Malawi
2020-02-29,Lilongwe river,24051,21.948829371888355,Malawi
2020-03-01,Dwangwa river,22457,21.092346766271245,Malawi
2020-03-02,Dwangwa river,24243,22.345681390651926,Malawi
